Offense Type,Report Date,Incident Precinct Code,Borough Name,Intimate Relationship Flag,Victim Race,Victim Sex,Victim Reported Age,Suspect Race,Suspect Sex,Suspect Reported Age,COMMDIST,Poverty,Median Income,Unemployment
DIR,12/31/2021,40,BRONX,MISSING,,,,,,,201,1,1,1
DIR,12/31/2021,40,BRONX,YES,BLACK,FEMALE,29,BLACK,MALE,39,201,1,1,1
DIR,12/31/2021,40,BRONX,NO,BLACK,FEMALE,59,BLACK,MALE,34,201,1,1,1
DIR,12/31/2021,40,BRONX,YES,OTHER,MALE,34,OTHER,MALE,33,201,1,1,1
DIR,12/31/2021,40,BRONX,MISSING,,,,,,,201,1,1,1
DIR,12/31/2021,40,BRONX,YES,BLACK,FEMALE,43,BLACK,MALE,33,201,1,1,1
DIR,12/31/2021,40,BRONX,YES,BLACK,MALE,34,,,,201,1,1,1
DIR,12/31/2021,40,BRONX,YES,BLACK,FEMALE,50,BLACK,MALE,52,201,1,1,1
DIR,12/31/2021,40,BRONX,NO,BLACK,FEMALE,61,BLACK,MALE,30,201,1,1,1
DIR,12/31/2021,40,BRONX,NO,BLACK,FEMALE,63,BLACK,FEMALE,25,201,1,1,1
DIR,12/31/2021,40,BRONX,YES,BLACK,FEMALE,30,BLACK,MALE,27,201,1,1,1
DIR,12/31/2021,40,BRONX,NO,WHITE,MALE,19,WHITE,MALE,50,201,1,1,1
DIR,12/31/2021,40,BRONX,YES,WHITE,FEMALE,31,WHITE,MALE,36,201,1,1,1
DIR,12/31/2021,40,BRONX,NO,BLACK,FEMALE,44,BLACK,FEMALE,52,201,1,1,1
DIR,12/31/2021,40,BRONX,NO,BLACK,FEMALE,,BLACK,MALE,,201,1,1,1
DIR,12/31/2021,40,BRONX,MISSING,,,,,,,201,1,1,1
DIR,12/31/2021,40,BRONX,MISSING,,,,,,,201,1,1,1
DIR,12/31/2021,40,BRONX,MISSING,,,,,,,201,1,1,1
DIR,12/31/2021,40,BRONX,MISSING,,,,,,,201,1,1,1
DIR,12/31/2021,40,BRONX,NO,OTHER,FEMALE,52,BLACK,FEMALE,16,201,1,1,1
DIR,12/31/2021,40,BRONX,MISSING,,,,,,,201,1,1,1
DIR,12/31/2021,40,BRONX,NO,BLACK,FEMALE,46,BLACK,MALE,8,201,1,1,1
DIR,12/31/2021,40,BRONX,YES,OTHER,MALE,32,OTHER,MALE,41,201,1,1,1
DIR,12/31/2021,40,BRONX,YES,BLACK,FEMALE,45,BLACK,MALE,,201,1,1,1
DIR,12/31/2021,40,BRONX,YES,WHITE,FEMALE,35,BLACK,MALE,26,201,1,1,1
DIR,12/31/2021,40,BRONX,YES,BLACK,FEMALE,,BLACK,MALE,30,201,1,1,1
DIR,12/31/2021,40,BRONX,YES,OTHER,MALE,31,OTHER,FEMALE,36,201,1,1,1
DIR,12/31/2021,41,BRONX,NO,BLACK,FEMALE,20,BLACK,FEMALE,19,202,1,1,1
DIR,12/31/2021,41,BRONX,MISSING,,,,,,,202,1,1,1
DIR,12/31/2021,41,BRONX,YES,BLACK,FEMALE,30,BLACK,MALE,30,202,1,1,1
DIR,12/31/2021,41,BRONX,NO,BLACK,FEMALE,2,BLACK,FEMALE,30,202,1,1,1
DIR,12/31/2021,41,BRONX,MISSING,,,,,,,202,1,1,1
DIR,12/31/2021,41,BRONX,NO,WHITE,FEMALE,38,WHITE,FEMALE,,202,1,1,1
DIR,12/31/2021,41,BRONX,YES,WHITE,FEMALE,36,WHITE,MALE,37,202,1,1,1
DIR,12/31/2021,41,BRONX,MISSING,,,,,,,202,1,1,1
DIR,12/31/2021,41,BRONX,NO,WHITE,FEMALE,47,WHITE,FEMALE,23,202,1,1,1
DIR,12/31/2021,41,BRONX,YES,WHITE,FEMALE,42,WHITE,MALE,37,202,1,1,1
DIR,12/31/2021,41,BRONX,YES,WHITE,MALE,40,WHITE,FEMALE,27,202,1,1,1
DIR,12/31/2021,41,BRONX,NO,BLACK,MALE,22,BLACK,FEMALE,20,202,1,1,1
DIR,12/31/2021,41,BRONX,NO,BLACK,MALE,19,BLACK,FEMALE,20,202,1,1,1
DIR,12/31/2021,41,BRONX,MISSING,,,,,,,202,1,1,1
DIR,12/31/2021,41,BRONX,YES,WHITE,FEMALE,38,WHITE,MALE,38,202,1,1,1
DIR,12/31/2021,41,BRONX,YES,WHITE,FEMALE,47,WHITE,MALE,50,202,1,1,1
DIR,12/31/2021,42,BRONX,YES,WHITE,FEMALE,35,WHITE,MALE,34,203,1,1,1
DIR,12/31/2021,42,BRONX,NO,WHITE,FEMALE,42,BLACK,MALE,19,203,1,1,1
DIR,12/31/2021,42,BRONX,MISSING,,,,,,,203,1,1,1
DIR,12/31/2021,42,BRONX,YES,WHITE,MALE,46,BLACK,FEMALE,29,203,1,1,1
DIR,12/31/2021,42,BRONX,MISSING,,,,,,,203,1,1,1
DIR,12/31/2021,42,BRONX,YES,BLACK,FEMALE,30,BLACK,MALE,30,203,1,1,1
DIR,12/31/2021,42,BRONX,YES,WHITE,FEMALE,26,BLACK,MALE,27,203,1,1,1
